front,back,topic,note
What is electric current?,"The flow of electric charge, measured in amperes. 1 A = 1 coulomb per second.",Electricity / Basics,
What is voltage?,The difference in electric potential between two points — the push that moves charge. Measured in volts.,Electricity / Basics,
What is resistance?,"Opposition to the flow of current, measured in ohms (Ω).",Electricity / Basics,
"In a series circuit, which quantity is the same everywhere?",Current. Voltage divides across the components.,Electricity / Basics,
"In a parallel circuit, which quantity is the same in every branch?",Voltage. Current divides between the branches.,Electricity / Basics,
How is electrical power calculated?,"P = V × I, in watts. Equivalently P = I²R or P = V²/R.",Electricity / Basics,
What does a coulomb measure?,A quantity of electric charge — about 6.24 × 10¹⁸ electrons.,Electricity / Basics,
Conventional current vs electron flow?,Conventional current is drawn from + to −. Electrons actually move from − to +.,Electricity / Basics,The convention predates the discovery of the electron and was never changed.
State Ohm's law.,V = I × R.,Electricity / Ohm's law and circuits,
12 V is applied across 4 Ω. What current flows?,"3 A, from I = V / R.",Electricity / Ohm's law and circuits,
What does Kirchhoff's current law say?,The current entering a node equals the current leaving it. Charge is conserved.,Electricity / Ohm's law and circuits,
What does Kirchhoff's voltage law say?,The voltages around any closed loop sum to zero. Energy is conserved.,Electricity / Ohm's law and circuits,
Total resistance of resistors in series?,Add them: R = R₁ + R₂ + …,Electricity / Ohm's law and circuits,
Total resistance of two resistors in parallel?,R = (R₁ × R₂) / (R₁ + R₂). Always smaller than the smaller resistor.,Electricity / Ohm's law and circuits,"A useful sanity check: if the answer is bigger than either resistor, the arithmetic is wrong."
What is a voltage divider?,Two resistors in series; the output taken between them is Vin × R₂ / (R₁ + R₂).,Electricity / Ohm's law and circuits,
Why is a short circuit dangerous?,"Resistance drops to near zero, so current rises enormously (I = V/R) and the energy turns into heat.",Electricity / Ohm's law and circuits,
Difference between DC and AC?,DC flows one way at constant polarity. AC reverses direction periodically.,Electricity / AC and signals,
What is the frequency of mains electricity?,"50 Hz across most of the world, 60 Hz in North America.",Electricity / AC and signals,
What does RMS voltage mean?,"The equivalent DC voltage that would deliver the same power. For a sine wave, RMS = peak / √2.",Electricity / AC and signals,
230 V AC mains — what is the peak voltage?,"About 325 V, from 230 × √2.",Electricity / AC and signals,"Insulation and component ratings must survive the peak, not the RMS figure."
What is impedance?,The AC generalisation of resistance: resistance plus the reactance of capacitors and inductors. Measured in ohms.,Electricity / AC and signals,
What is phase shift?,"The offset in time between the voltage and current waveforms, expressed in degrees.",Electricity / AC and signals,
What does a resistor do?,Limits current and drops voltage.,Electricity / Components,
"What does a capacitor store, and how does it treat DC and AC?",Energy in an electric field. It blocks DC and passes AC.,Electricity / Components,
"What does an inductor store, and how does it treat DC and AC?",Energy in a magnetic field. It passes DC and opposes changes in current.,Electricity / Components,
What does a diode do?,Conducts in one direction only. Used for rectification and for protecting against reversed polarity.,Electricity / Components,
What are the two main uses of a transistor?,Switching and amplification.,Electricity / Components,
What is the time constant of an RC circuit?,τ = R × C. After one τ the capacitor reaches about 63% of the supply voltage.,Electricity / Components,
